cloud,『雲』 / (…の)『雲状のもの』
club,"『こん棒』 / (ゴルフなどの)『クラブ』,打球棒"
coal,(物質としての)『石炭』;(1個の)『石炭』;(燃料用に砕いた)石炭の小塊 / 燃えている燃料;燃えさし
coast,"『海岸』,沿岸;海岸地域 / (米国の)太平洋岸[地方],西海岸(West Coast)"
coat,"『コート』,オーバー,外とう / (男子背広・婦人スーツの)『上着』;(婦人・子供の)長上着"
coffee,"『コーヒー』[『飲料』];(1杯の)コーヒー / コーヒー豆,コーヒーの粉末"
coin,"(1枚の)『硬貨』(金貨・銀貨・銅貨・ニッケル貨など);貨幣,硬貨 / 'を'鋳造する"
cold,"『寒い』,冷たい;冷えた,冷やした / (性格・態度などが)『冷たい』,冷淡な,熱意のない;無情な,冷酷な"
collar,"(衣服の)『えり』,カラー / 首飾り;(勲章としての)頚(けい)章,首章"
collect,"(趣味として)…'を'『集』,収集する / 'を'『徴集する』,集金する;'を'募る,集める"
collection,"(…を)『集めること』,(…の)収集,採集;(税金などの)徴集,集金 / (…の)『収集物』,収蔵物,コレクション"
collector,"(…の)収集家,採集者 / (…の)集金人,取り立て人;徴税官;(一般に)(…を)集める人"
college,"(一般に)『大学』,カレッジ / 『単科大学』,教養課程大学 (総合大学 universityの)学部"
colony,"『植民地』 / 植民団,居留民;(外国人の)集団居留地"
color,"『色』,色採,色調 / 『絵の具』(paint)"
combine,"…'を'『結合する』,合同する / …'を'兼ね備える;(…と)…'を'兼ね合わさせる"
come,"(話し手の方へ)『来る』,やって来る;(相手の方へ)『行く』,伺う / (ある場所に)『着く』,到着する"
comfort,"…'を'『慰める』,元気づける / 'を'楽にする,和らげる"
command,"…'を'『命令する』,命じる;…‘に'命令する / …'を'『指揮する』,‘の'支配権を握る"
commerce,"(…との)『商業』,通商,貿易(trade)"
commercial,"『商業上の』,通商上の,貿易上の / 営利的な,もうけ主義の;市販用の"
committee,『委員会』;委員[全体]
common,"(二つ以上のものに)『共通の』,共同の,共有の / 『一般の』,公共の,公衆の"
companion,"『仲間』,友 / (偶然の)連れ,相手"
